start_time,V0_LAT,V1_LAT,V2_LAT,V3_LAT,V0_LON,V1_LON,V2_LON,V3_LON,Al/Si,Mg/Si,Ca/Si,Al/Si_uncer,Mg/Si_uncer,Ca/Si_uncer
20200112T223553,88.1896,82.5021,82.4587,88.0181,-44.8503,-46.2571,-40.5198,-22.6115,2.478371812096655,2.478371812096655,0.0,0.014322565197334571,0.004179458283410867,-1.0
20200112T223729,89.8915,86.7698,86.8721,89.6755,110.935,-45.403,-29.1549,131.633,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T223905,87.4896,81.895,81.9353,87.6228,126.611,120.439,132.376,132.837,1.335812827642402,1.2726338226211567,0.0,0.00572528064667108,0.004159197521978696,-1.0
20200112T224041,82.6423,76.9737,76.999,82.6868,129.376,127.847,132.927,133.042,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T224217,77.7249,72.0444,72.0629,77.7518,130.515,129.836,133.076,133.129,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T224353,72.7982,67.1133,67.1281,72.8176,131.132,130.753,133.148,133.179,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T224529,67.8699,62.1825,62.1948,67.8852,131.517,131.278,133.192,133.213,0.0,0.0,0.0,-1.0,-1.0,-1.0
20200112T224705,62.9422,57.2525,57.2631,62.9549,131.78,131.616,133.223,133.238,0.9647347689325372,0.0,0.0,0.0071670572399575765,-1.0,-1.0
20200112T224841,58.0159,56.5493,56.5597,58.0268,131.815,131.851,133.247,133.242,2.5641912154439317,2.2563148670722253,0.0,0.02022761272375401,0.031961175007801094,-1.0
20200112T233126,-72.3171,-78.0597,-78.0254,-72.2937,132.741,132.742,135.952,136.69,0.0,0.0,0.0,-1.0,-1.0,-1.0
